judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Tara A Collins,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Bronx,Bronx County Supreme Court,2017,,,,,,
Michael J Hartnett,Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Saratoga,Saratoga County Family Court,2023,,,,,,
Keith S MasseyJr,City Court Judge,,2021-01-01,2026-12-31,St. Lawrence,Ogdensburg City Court,2021,,,,,,
Ralph A Fabrizio,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2026-12-31,Bronx,Bronx County Sup Ct Crim Term,2002,,,,,,
Michael C Howard,County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Columbia,Columbia County Court (M-B),2024,,,,,,
Gregory J Amoroso,City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Oneida,Rome City Court,2014,5,City,,,,
Christopher J Exias,Family Court Judge,,2024-01-01,2033-12-31,Rockland,Rockland County Family Court,2024,,,,,,
Taisha L Chambers,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Sup Ct Civil Term,2023,Bronx,Civil,,,,
Theresa R Cayton,City Court Judge,,2024-01-01,2033-12-31,Orange,Middletown City Court,2024,,,,,,
Ann B Bianchi,County Judge,,2024-01-01,2030-12-31,Westchester,Westchester County Supreme Ct,2024,,,,,,
Debra J Gelson,City Court Judge,,2024-01-01,2028-12-31,Broome,Binghamton City Court,2024,,,,,,
Cynthia Isales,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Supreme Court,2023,,,,,,
Simiyon S Haniff,Criminal Court Judge NYC,,2022-10-11,2028-12-31,New York,New York County Criminal Court,2021,,,,,,
Shadia Tadros,City Court Judge,,2021-01-01,2030-12-31,Onondaga,Syracuse City Court,2021,,,,,,
David W Foley,County Judge,,2026-01-01,2035-12-31,Chautauqua,Chautauqua County Supreme Ct,2016,,,,,,
Michael F Geraci,City Court Judge,,2025-01-01,2034-12-31,Monroe,Rochester City Court,2025,,,,,,
Andrew S Moses,Family Court Judge,,2022-01-01,2031-12-31,St. Lawrence,St. Lawrence County Family Ct,2022,,,,,,
Matthew J Turner,Family Court Judge,,2025-01-01,2034-12-31,Rensselaer,Rensselaer County Family Court,1999,,,,,,
Joanne M Forbes,City Court Judge,,2021-02-22,2031-02-08,Orange,Newburgh City Court,2021,,,,,,
Angela J Badamo,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2017,,,,,,
Stefanie L Barnes,County Family Court Judge,,2026-01-01,2035-12-31,Ontario,Ontario County Court (M-B),2026,,,,,,
Michelle H Weber,Criminal Court Judge NYC,,2024-04-04,2033-12-31,New York,New York County Criminal Court,2024,,,,,,
Germaine Auguste,Criminal Court Judge NYC,ACT SUP CT JUS,2022-10-11,2031-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,
Jacquelyn L Grippe,City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Monroe,Rochester City Court,2023,,,,,,
Karen N Best,City Court Judge,,2021-01-01,2030-12-31,Westchester,Yonkers City Court,2021,,,,,,
David A Renzi,County Judge,,2020-01-01,2030-12-31,Jefferson,Jefferson County Court,2020,,,,,,
Elizabeth M Walsh,Family Court Judge,,2020-01-01,2029-12-31,Rensselaer,Rensselaer County Family Court,2010,,,,,,
Lisa Daniels,Family Court Judge,,2025-01-01,2034-12-31,Nassau,Nassau County Family Court,2025,,,,,,
E Danielle JoseDecker,County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Sullivan,Sullivan County Family Court,2021,3,Town & Villiage,,,,
Jacquelyn P White,City Court Judge,,2024-01-01,2029-12-31,Warren,Glens Falls City Court,2023,,,,,,
John F Lambert,County Surrogate Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Otsego,Otsego County Supreme Ct (M-B),2009,6,DWI Parts/Prolem Solving,,,,
Kevin F Russo,County Judge,,2017-01-01,2026-12-31,Rockland,Rockland County Court,2017,,,,,,
Daniel R King,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Lewis,Lewis County Court (M-B),2012,,,,,,
Catherine M DiDomenico,Family Court Judge NYC,ACT SUP CT JUS,2017-02-01,2027-01-31,Richmond,Richmond County Family Court,2005,,,,,,
John Iliou,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Suffolk,Suffolk County Supreme Court,2006,,,,,,
Abayomi A Whint,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,
William J Mycek,City Court Judge,,2023-01-01,2028-12-31,Montgomery,Amsterdam City Court,2016,,,,,,
Kathleen M WojtaszekGariano,Family Court Judge,,2022-01-01,2031-12-31,Niagara,Niagara County Family Court,2001,,,,,,
Andres Casas,Civil Court Judge NYC,,2026-01-01,2026-12-31,New York,"NYC Civil Ct, New York County",2026,,,,,,
Rebecca L Town,City Court Judge,,2022-01-01,2031-12-31,Erie,Buffalo City Court,2022,,,,,,
Eric J Wursthorn,Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,Bronx County Sup Ct Civil Term,2026,,,,,,
Constance A Patterson,City Court Judge,ACT CNTY JGE,2024-01-01,2033-12-31,Monroe,Monroe County Supreme Court,2023,,,,,,
Terrence M Parker,County Surrogate Family Court Judge,ACT SUP CT JUS,2021-01-01,2026-12-31,Allegany,Allegany County Supr Ct(M-B),2011,,,,,,
Joan L Piccirillo,Family Court Judge NYC,,2020-06-02,2030-06-01,Queens,Queens County Family Court,2012,,,,,,
Sanford A Church,County Surrogate Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Orleans,Orleans County Court (M-B),2018,,,,,,
Mary A Doherty,City Court Judge,ACT CNTY JGE,2024-01-01,2031-12-31,Onondaga,Syracuse City Court,2014,,,,,,
Rhonda M Youngs,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Madison,Madison County Court (M-B),2023,,,,,,
Sylvia A Cabana,Family Court Judge,,2023-01-01,2032-12-31,Nassau,Nassau County Family Court,2023,,,,,,
Jasmine M Norman,City Court Judge,,2024-08-30,2030-08-29,Albany,Watervliet City Court,2024,,,,,,
Alonzo G Jacobs,District Court Judge,,2021-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2021,,,,,,
James Davis,County Judge,,2025-01-01,2034-12-31,Saratoga,Saratoga County Court,2025,,,,,,
Matthew D Witherow,City Court Judge,,2021-01-27,2027-01-26,Orange,Port Jervis City Court,2009,,,,,,
Keith E Brown,Family Court Judge NYC,ACT SUP CT JUS,2019-05-05,2029-05-04,Richmond,Richmond County Family Court,2019,,,,,,
Duane Frankson,Civil Court Judge NYC,,2026-01-01,2035-12-31,Kings,"NYC Criminal Ct, Kings County",2026,,,,,,
Arieh D Schulman,District Court Judge,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 1st Dist",2023,,,,,,
Robert M Mandelbaum,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,New York,"NYC Civil Ct, New York County",2006,,,,,,
Josh E Hanshaft,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York,New York County Criminal Court,2017,,,,,,
Michael G St Leger,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Madison,Madison County Court (M-B),2020,,,,,,
Brenda M Freedman,Family Court Judge,,2026-01-01,2033-12-31,Erie,Erie County Family Court,2016,,,,,,
Katherine O'brien,Civil Court Judge NYC,,2026-01-01,2029-12-31,Bronx,NYC Criminal Ct - Bronx County,2026,,,,,,
Yadhira GonzalezTaylor,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Supreme Court,2023,Bronx,Criminal,,,,
Anna Acquafredda,District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2023,,,,,,
Donald G O'Geen,County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Wyoming,Wyoming County Supreme Ct(M-B),2024,,,,,,
Ilana J Marcus,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,
Charles M Tailleur,County Surrogate Family Court Judge,,2021-01-01,2030-12-31,Greene,Greene County Supreme Ct(M-B),2011,,,,,,
Armen J Nazarian,County Judge,,2022-01-01,2031-12-31,Oswego,Oswego County Family Court,2022,,,,,,
Karen M Brandt,County Judge,,2021-01-01,2030-12-31,Oswego,Oswego County Supreme Court,2021,,,,,,
Patricia M Blake,District Court Judge,,2025-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,
Linda B Johnson,City Court Judge,,2025-01-01,2030-12-31,Rensselaer,Rensselaer City Court,2020,,,,,,
David J Kaplan,Family Court Judge NYC,,2025-10-30,2035-10-29,Bronx,Bronx County Family Court,2008,,,,,,
Frank A Tantone,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2017,,,,,,
Alice T Tien,Civil Court Judge NYC,,2025-01-01,2034-12-31,New York,"NYC Civil Ct, New York County",2025,,,,,,
Janette CortesGomez,Family Court Judge NYC,,2023-02-15,2029-07-21,Bronx,Bronx County Family Court,2023,,,,,,
James H Cecile,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Onondaga,Syracuse City Court,2002,5,City,,,,
Andrea F Composto,Family Court Judge,,2025-01-01,2034-12-31,Rockland,Rockland County Family Court,2025,,,,,,
Amish R Doshi,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,"NYC Civil Court, Queens County",2025,,,,,,
Joseph F Kasper,Civil Court Judge NYC,,2022-01-01,2026-12-31,Queens,"NYC Civil Court, Queens County",2022,,,,,,
Curtis J Farber,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Criminal Court,2012,,,,,,
Kevin G Vanallen,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Livingston,Livingston County Court (M-B),2020,,,,,,
Ted M Wilson,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Warren,Warren County Supreme Ct(M-B),2017,,,,,,
Michael F Getman,County Surrogate Family Court Judge,,2021-01-01,2027-12-31,Otsego,Otsego County Supreme Ct (M-B),2021,,,,,,
Mary G Carney,Family Court Judge,,2024-01-01,2033-12-31,Erie,Erie County Family Court,2014,,,,,,
Amanda B Brady,Family Court Judge,,2026-01-01,2035-12-31,Orange,Orange County Supreme Court,2026,,,,,,
Angel Cruz,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2025,,,,,,
Linda Wilson,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,
Kelly A Brinkworth,Family Court Judge,,2021-01-01,2030-12-31,Erie,Erie County Family Court,2021,,,,,,
Suzanne Maxwell Barnes,County Judge,,2019-01-01,2029-12-31,Erie,Erie County Court,2019,,,,,,
Bryan E Rounds,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Ulster,Ulster County Court,2020,,,,,,
James A McDonaugh,District Court Judge,ACT CNTY JGE,2025-01-01,2030-12-31,Suffolk,Suffolk County Court,2012,,,,,,
Sarah Rakov,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Ulster,Ulster County Family Court,2022,,,,,,
Betty Lugo,Civil Court Judge NYC,,2022-01-01,2029-12-31,New York,"NYC Civil Ct, New York County",2022,,,,,,
Karen B Wolff,Family Court Judge NYC,,2025-12-29,2030-12-28,Richmond,Richmond County Family Court,2010,,,,,,
Nelida MalaveGonzalez,Surrogate Court Judge,,2013-01-01,2026-12-31,Bronx,Bronx County Surrogate's Court,2005,,,,,,
Amy J Knussman,Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Saratoga,Saratoga County Family Court,2021,,,,,,
Pamela P Fynes,Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings,"NYC Civil Court, Kings County",2023,,,,,,
Edwin I Novillo,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2018,Queens,Criminal,,,,
Melissa Loehr,County Judge,,2020-01-01,2029-12-31,Westchester,Westchester County Family Ct,2017,,,,,,
Mary C Mullen,District Court Judge,ACT CNTY JGE,2023-01-01,2028-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2023,,,,,,
Joseph J SpoffordJr,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Putnam,Putnam County Supreme Ct(M-B),2020,,,,,,
Jeffrey D Wait,City Court Judge,ACT CNTY JGE,2017-01-01,2026-12-31,Saratoga,Saratoga Springs City Court,2009,,,,,,
Brian J Herman,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2028-12-31,Columbia,Columbia County Court (M-B),2016,,,,,,
Anthony SenftJr,County Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Suffolk,Suffolk County Court,2016,,,,,,
Toni M Cimino,Criminal Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,Queens,Queens Supreme Criminal Term,2016,,,,,,
Andrea C Phoenix,District Court Judge,ACT CNTY JGE,2025-01-01,2029-12-30,Nassau,"Nassau District Ct, 1st Dist",2007,,,,,,
Susan A Berland,District Court Judge,,2024-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2023,,,,,,
Peter Saint George Davis,City Court Judge,,2026-01-01,2027-12-31,Westchester,Mount Vernon City Court,2022,,,,,,
Corey E Klein,City Court Judge,,2025-01-01,2034-12-31,Nassau,Long Beach City Court,2015,,,,,,
Jeffrey N Bagnoli,City Court Judge,,2026-01-01,2031-12-31,Saratoga,Mechanicville City Court,2020,,,,,,
Danielle L Hartman,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Queens,Queens Supreme Criminal Term,2017,,,,,,
Felicia A Mennin,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2028-12-31,New York,New York County Criminal Court,2008,,,,,,
David P Sullivan,Surrogate Court Judge,,2026-01-01,2033-12-31,Nassau,Nassau County Surrogate's Ct,2003,,,,,,
Juliet P Howard,Civil Court Judge NYC,,2026-01-01,2034-12-31,New York,New York County Criminal Court,2021,,,,,,
Jennifer G Sober,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Rensselaer,Rensselaer County Court,2018,,,,,,
James R Farrell,County Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Sullivan,Sullivan County Court (M-B),2020,,,,,,
Jacqueline B Deane,Family Court Judge NYC,,2025-01-01,2030-12-31,Kings,Kings Supreme Criminal,2015,,,,,,
William A Favreau,Surr and County Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Clinton,Clinton County Court (M-B),2017,,,,,,
David M Costanzo,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Greene,Greene County Court (M-B),2024,,,,,,
Althea EM Drysdale,Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2029-12-31,New York,New York County Criminal Court,2015,,,,,,
David A Morris,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Suffolk,Suffolk County Court,2011,,,,,,
K Felicia PittsDavis,City Court Judge,,2021-01-01,2030-12-31,Onondaga,Syracuse City Court,2021,,,,,,
Jeffrey A Goodstein,County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Nassau,Nassau County Court,2012,,,,,,
Graham B Seiter,City Court Judge,,2025-01-01,2030-12-31,Oswego,Fulton City Court,2024,,,,,,
Allison E Burke,Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,
John G ConnorJr,City Court Judge,,2025-01-01,2029-12-31,Columbia,Hudson City Court,2012,,,,,,
Alan M Beckoff,Family Court Judge NYC,,2021-05-01,2027-12-31,Kings,Kings Supreme Criminal,2008,,,,,,
Howard E Sturim,County Judge,ACT SUP CT JUS,2026-01-01,2028-12-31,Nassau,Nassau County Court,2016,,,,,,
Gary A Rosa,Family Court Judge,ACT CNTY JGE,2026-01-01,2030-12-31,Delaware,Delaware County Family Ct(M-B),2016,,,,,,
Thomas E Lamb,City Court Judge,,2023-01-01,2028-12-31,Albany,Watervliet City Court,1999,,,,,,
AnneMarie Jolly,Family Court Judge NYC,ADM JGE ACT SUP CT JS,2021-05-19,2031-05-18,New York,New York County Family Court,2010,,,,,,
Marjorie R Steinberg,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2023,,,,,,
Constantine F DeStefano,City Court Judge,,2025-01-01,2030-12-31,Saratoga,Mechanicville City Court,2018,,,,,,
Seth A Steed,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Bronx,NYC Criminal Ct - Bronx County,2021,,,,,,
Jeannie L D'Alessandro,County Surrogate Family Court Judge,,2026-01-01,2035-12-31,Wayne,Wayne County Court (M-B),2026,,,,,,
Mark M Kagan,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,
Karen T Beltran,City Court Judge,,2024-01-01,2033-12-31,Westchester,Yonkers City Court,2023,,,,,,
Mathew K McCarthy,County Family Court Judge,,2025-01-01,2034-12-31,Steuben,Steuben County Court (M-B),2014,,,,,,
Taylor A PiscionereKonicoff,City Court Judge,,2023-01-01,2028-12-31,Westchester,Rye City Court,2023,,,,,,
Evan Inlaw,City Court Judge,,2025-01-01,2034-12-31,Westchester,Yonkers City Court,2015,,,,,,
Anthony W Paradiso,District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Nassau,"Nassau District Ct, 2nd Dist",2006,,,,,,
Michael A Liddie,Family Court Judge NYC,,2024-01-25,2033-12-31,Bronx,Bronx County Family Court,2024,,,,,,
Dean T Kusakabe,Family Court Judge NYC,,2025-12-29,2035-12-28,Queens,Queens County Family Court,2012,,,,,,
Tonastacia S Dennis,City Court Judge,,2025-01-01,2034-12-31,Onondaga,Syracuse City Court,2025,,,,,,
Tawanna MSt Louis,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,
Odessa Kennedy,Civil Court Judge NYC,,2017-01-01,2026-12-31,Kings,"NYC Civil Court, Kings County",2017,,,,,,
Adam R Schumacher,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Tioga,Tioga County Court (M-B),2023,,,,,,
Jeffrey S Zellan,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York,New York County Supreme Court,2022,,,,,,
Rantideva Singh,Family Court Judge NYC,,2024-01-25,2033-12-31,Bronx,Bronx County Family Court,2024,,,,,,
Grant J Garramone,City Court Judge,,2024-01-01,2033-12-31,Oneida,Utica City Court,2024,,,,,,
Robin M Kent,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Nassau,Nassau County Family Court,2009,,,,,,
Salvatore M Rua,City Court Judge,,2026-01-08,2027-12-31,Erie,Tonawanda City Court,2026,,,,,,
Steven Weissbard,District Court Judge,,2024-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2024,,,,,,
Joseph Capobianco,City Court Judge,,2023-01-01,2028-12-31,Nassau,Glen Cove City Court,2023,,,,,,
Jay D Carr,City Court Judge,,2023-01-05,2028-12-31,Cattaraugus,Salamanca City Court,2023,,,,,,
Christopher Chin,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,NYC Criminal Ct - Bronx County,2022,,,,,,
Madeleine C PetraraPerrin,District Court Judge,,2024-01-01,2029-12-31,Nassau,"Nassau District Ct, 1st Dist",2023,,,,,,
Raymond F Bara,Family Court Judge,,2025-01-01,2034-12-31,Oneida,Oneida County Supreme Court,2025,,,,,,
Christopher M Tunney,Surrogate Court Judge,,2025-01-01,2034-12-31,Steuben,Steuben County Surrogate's Ct,2025,,,,,,
Robert Bauer,County Judge,,2017-01-01,2026-12-31,Oneida,Oneida County Supreme Court,2017,,,,,,
John J OttavianoJr,County Surrogate Court Judge,,2022-01-01,2029-12-31,Niagara,Niagara County Court,2022,,,,,,
Leticia M Ramirez,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,New York County Supreme Court,2011,,,,,,
Joseph A McCormack,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Bronx,Bronx County Supreme Court,2017,,,,,,
Diego A Freire,Criminal Court Judge NYC,ACT SUP CT JUS,2023-10-31,2031-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,
Cassandra A Johnson,Surrogate Court Judge,,2025-01-01,2034-12-31,Queens,Queens Supreme Civil Term,2022,,,,,,
John T Hecht,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings,Kings Supreme Criminal,2011,,,,,,
Matthew J Titone,Surrogate Court Judge,,2019-01-01,2031-12-31,Richmond,Richmond County Surrogates Ct,2019,,,,,,
Julie A Cerio,Family Court Judge,,2021-01-01,2030-12-31,Onondaga,Onondaga County Supreme Court,2021,,,,,,
Barbara R JohnsonLee,City Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Erie,Buffalo City Court,2015,,,,,,
Sharifa M NasserCuellar,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,Queens Supreme Criminal Term,2025,,,,,,
Christopher R Daniele,City Court Judge,,2025-08-14,2035-08-13,Westchester,White Plains City Court,2025,,,,,,
Bruna L DiBiase,Criminal Court Judge NYC,ACT SUP CT JUS,2025-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2013,,,,,,
Kenneth J Lauri,District Court Judge,,2025-01-01,2030-12-31,Suffolk,"Suffolk Dist Ct, Second Dist",2024,,,,,,
Ottavio Campanella,County Surrogate Court Judge,,2021-01-01,2030-12-31,Chemung,Chemung County Court (M-B),2013,,,,,,
Marisa Anelli,Civil Court Judge NYC,ACT FAM CT JGE,2026-01-01,2035-12-31,New York,New York County Family Court,2026,,,,,,
Marcia L LeMay,City Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,St. Lawrence,Ogdensburg City Court,2021,4,Town & Villiage,,,,
Matthew G Favro,City Court Judge,,2020-12-18,2026-12-17,Clinton,Plattsburgh City Court,2020,,,,,,
Amy E Joyce,Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Albany,Albany County Family Court,2020,,,,,,
Kristina A Karle,County Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Ontario,Ontario County Court (M-B),2019,,,,,,
Beth Beller,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2017,,,,,,
Douglas A Randall,County Judge,ACT SUP CT JUS,2022-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2011,,,,,,
Lisa J Friederwitzer,Family Court Judge NYC,,2020-01-04,2030-01-03,Queens,Queens County Family Court,2018,,,,,,
Hilary Gingold,Surrogate Court Judge,,2023-01-01,2032-12-31,New York,New York County Surrogate's Ct,2019,,,,,,
Sharon N Clarke,Family Court Judge NYC,,2023-02-15,2028-12-31,Kings,Kings Supreme Criminal,2023,,,,,,
Sarah E Marshall,Family Court Judge,,2025-01-01,2034-12-31,Monroe,Monroe County Supreme Court,2025,,,,,,
John L Grow,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Wayne,Wayne County Court (M-B),2024,,,,,,
Valentina M Morales,Criminal Court Judge NYC,ACT SUP CT JUS,2021-08-11,2026-12-31,New York,New York County Criminal Court,2021,,,,,,
Juan D Abreu,Criminal Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,
Jennifer M Noto,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Livingston,Livingston County Court (M-B),2020,,,,,,
Rosa M Astuto,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,
Randolph Kruman,County Surrogate Family Court Judge,,2026-01-01,2035-12-31,Cortland,Cortland County Supr Ct(M-B),2026,,,,,,
Joseph Farneti,County Judge,ACT SUP CT JUS,2019-01-01,2027-12-31,Suffolk,Suffolk County Court,1997,,,,,,
Amy Asadourian,Family Court Judge,,2024-01-01,2033-12-31,Clinton,Clinton County Court (M-B),2024,,,,,,
George J WelchJr,City Court Judge,,2021-03-04,2027-03-03,Steuben,Corning City Court,2015,,,,,,
Tonia M Ettinger,Family Court Judge,,2026-01-01,2035-12-31,Monroe,Monroe County Family Court,2025,,,,,,
Jevet T Johnson,Criminal Court Judge NYC,,2024-12-17,2033-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,
Dale FongFrederick,Criminal Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Kings,Kings Supreme Criminal,2022,,,,,,
Seth J Peacock,City Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,Tompkins,Ithaca City Court,2014,,,,,,
Kevin B McGrathJr,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2008,"NYC, Crim",Criminal,,,,
Gary C Hobbs,City Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Warren,Glens Falls City Court,2004,4,Town & Villiage,,,,
Raymi V RamseurUsher,Family Court Judge NYC,,2023-02-15,2032-08-30,Kings,Kings Supreme Criminal,2023,,,,,,
Kristy L Sprague,County Surrogate Family Court Judge,,2025-01-01,2034-12-31,Essex,Essex County Court (M-B),2025,,,,,,
Djinsad Desir,County Judge,,2025-01-01,2034-12-31,Rockland,Rockland County Family Court,2024,,,,,,
Lorraine C Diamond,County Judge,,2025-01-01,2033-12-31,Montgomery,Montgomery County Court,2025,,,,,,
Paul L Damato,District Court Judge,,2025-01-01,2030-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,
Stuart P Besen,Family Court Judge,,2025-01-01,2034-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,
Guy H Mitchell,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2015,,,,,,
Victoria B Campbell,Family Court Judge,ACT SUP CT JUS,2026-01-01,2031-12-31,Orange,Orange County Family Court,1997,,,,,,
Laurence E Busching,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2013,,,,,,
Paul M Deep,Family Court Judge,,2018-01-01,2027-12-31,Oneida,Oneida County Family Court,2018,5,CJ/Treatment Courts,,,,
Anthony M Neddo,Family Court Judge,,2025-01-01,2034-12-31,Jefferson,Jefferson County Court,2018,,,,,,
Masateru Marubashi,Criminal Court Judge NYC,,2024-12-17,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,
Leslie Cohen Hickey,City Court Judge,,2026-01-01,2031-12-31,Ontario,Ontario County Court (M-B),2021,,,,,,
Carmen A Pacheco,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2029-12-31,Kings,"NYC Civil Court, Kings County",2023,Kings,Civil,,,,
Maura A KennedySmith,County Surrogate Family Court Judge,,2025-01-01,2034-12-31,Tompkins,Tompkins County Supr Ct(M-B),2025,,,,,,
Michael C Viscosi,City Court Judge,,2021-12-04,2027-12-03,Fulton,Johnstown City Court,2015,,,,,,
Louis H Guard,City Court Judge,,2026-01-01,2031-12-31,Ontario,Geneva City Court,2025,,,,,,
