judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Carl J Copertino,Supreme Court Justice,,2026-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,
Shirley Troutman,Associate Judge COA,,2022-01-12,2029-12-31,Erie,Court of Appeals,2010,,,,,,
Cynthia S Kern,Supreme Court Justice,"ASC JUS, AP DIV",2025-01-01,2032-12-31,New York,Appellate Division 1st Department,2011,,,,,,ADP/01/04
Alan J Schiff,Supreme Court Justice,,2025-01-01,2038-12-31,Queens,Queens Supreme,2025,,,,,,
Danielle M Peterson,Supreme Court Justice,,2022-01-01,2035-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,
Verris B Shako,Supreme Court Justice,,2026-01-01,2039-12-31,Westchester,9th Judicial District,2026,,,,,,
Raymond L Bruce,,,,,Bronx,Bronx Supreme Criminal,2016,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,
Lynn M Keane,Supreme Court Justice,,2018-01-01,2031-12-31,Erie,8th Judicial District,2018,,,,,,
Randy Sue Marber,Supreme Court Justice,,2021-01-01,2030-12-31,Nassau,10th Judicial District - Nassau,2007,,,,,,
Paul E Davenport,Supreme Court Justice,,2024-01-01,2032-12-31,Schenectady,4th Judicial District,2024,,,,,,
Jeanette RodriguezMorick,Court of Claims Judge,SUP CT JUSTICE,2017-03-18,2026-03-17,Bronx,Court of Claims,2015,,,,,,
Danielle M Fogel,Supreme Court Justice,,2022-01-01,2035-12-31,Onondaga,5th Judicial District,2022,,,,,,5/SJ/SUPREME
Sherri L Eisenpress,Supreme Court Justice,,2023-01-01,2036-12-31,Orange,9th Judicial District,2023,,,,,,
Lizbeth Gonzalez,,"ASC JUS, AP DIV, TPCT",,,Bronx,Bronx Supreme Civil,2016,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,ADT/01/03
Kenneth C Holder,Supreme Court Justice,,2022-01-01,2029-12-31,Queens,Queens Supreme,2008,,,,,,
Lizette Colon,Supreme Court Justice,,2021-01-01,2034-12-31,Kings,Richmond Supreme,2021,,,,,,
Anne E Minihan,Supreme Court Justice,ADMNV JGE,2023-01-01,2036-12-31,Westchester,9th Judicial District,2023,,,,,,AJ/09/SUP
Joy F Campanelli,Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,
Adam W Silverman,Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2026-06-30,Rensselaer,3rd Judicial District,2020,,,,,,
Paula L Feroleto,Supreme Court Justice,,2019-01-01,2026-12-31,Erie,8th Judicial District,2005,,,,,,
David Gugerty,Supreme Court Justice,,2020-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2020,,,,,,
Mario F Mattei,Supreme Court Justice,,2021-01-01,2026-12-31,Richmond,Richmond Supreme,2021,,,,,,
E Loren Williams,Supreme Court Justice,,2021-01-01,2034-12-31,Orange,9th Judicial District,2021,,,,,,9/SJ/CITY
Wyatt N Gibbons,Supreme Court Justice,,2020-01-01,2033-12-31,Queens,Queens Supreme,2020,,,,,,
Jean Marie Westlake,Supreme Court Justice,,2024-01-01,2037-12-31,Onondaga,5th Judicial District,2024,,,,,,
Anna M Grimaldi,Court of Claims Judge,,2024-06-06,2026-06-30,Nassau,10th Judicial District - Nassau,2024,,,,,,
Wavny Toussaint,Supreme Court Justice,"SUP CT JUS, DST 2 PJAT",2015-01-01,2027-12-31,Kings,Kings Supreme,2015,,,,,,ATM/02/0211/01
Richard A Kupferman,Supreme Court Justice,,2023-01-01,2036-12-31,Saratoga,4th Judicial District,2023,,,,,,
Patrick J O'Sullivan,Supreme Court Justice,,2022-01-01,2030-12-31,Madison,6th Judicial District,2022,,,,,,
James G Clynes,Supreme Court Justice,,2026-01-01,2029-12-31,New York,NYC Supreme Criminal,2026,,,,,,
Daniel J Doyle,Supreme Court Justice,,2021-01-01,2033-12-31,Monroe,7th Judicial District,2007,,,,,,7/SJ/CIVIL MATTERS
Thomas Marcelle,Supreme Court Justice,,2023-01-01,2036-12-31,Albany,3rd Judicial District,2023,,,,,,
TaTanisha D James,Supreme Court Justice,"SUP CT JUS, DST 1 AT",2021-01-01,2034-12-31,New York,NYC Supreme Civil,2021,,,,,,ATM/01/0112/01
Ronald CastorinaJr,Supreme Court Justice,,2022-01-01,2035-12-31,Richmond,Richmond Supreme,2022,,,,,,
Glenn A Murphy,Court of Claims Judge,SUP CT JUSTICE,2015-06-17,2022-12-31,Suffolk,10th Judicial District - Suffolk,2015,,,,,,
Carmen R Velasquez,Supreme Court Justice,,2015-01-01,2028-12-31,Queens,Queens Supreme,2015,,,,,,
Stephanie Saunders,Court of Claims Judge,,2024-07-11,2030-12-31,Erie,Court of Claims,2022,,,,,,
Thomas A Rademaker,Supreme Court Justice,,2020-01-01,2033-12-31,Nassau,10th Judicial District - Nassau,2020,,,,,,
Carol R Sharpe,Supreme Court Justice,,2021-01-01,2029-12-31,New York,NYC Supreme Civil,2021,,,,,,
Frank A SeditaIII,Supreme Court Justice,,2016-01-01,2029-12-31,Niagara,8th Judicial District,2016,,,,,,
Jeffrey H Pearlman,Court of Claims Judge,,2024-07-13,2031-12-31,New York,NYC Supreme Civil,2024,,,,,,
Sabrina B Kraus,Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Supreme Civil,2023,,,,,,
David Siguenza,Supreme Court Justice,,2026-01-01,2039-12-31,Monroe,7th Judicial District,2026,,,,,,
Mark C Dillon,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,Westchester,Appellate Division 2nd Department,2000,,,,,,ADP/02/05
Rupert V Barry,,,2024-06-06,2024-12-31,Kings,Kings Supreme,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
James A Vazzana,Supreme Court Justice,,2023-01-01,2036-12-31,Monroe,7th Judicial District,2023,,,,,,
John CV Katsanos,Supreme Court Justice,,2025-01-01,2037-12-31,Queens,Queens Supreme,2024,,,,,,
Sam L Valleriani,Supreme Court Justice,,2021-01-01,2034-12-31,Monroe,7th Judicial District,2021,,,,,,
Joseph C Pastoressa,Supreme Court Justice,,2026-01-01,2028-12-31,Suffolk,10th Judicial District - Suffolk,2004,,,,,,
Linda J Christopher,,"ASC JUS, AP DIV, TPCT",2011-01-01,2023-12-31,Rockland,Appellate Division 2nd Department,2011,,,"ASC JUS, AP DIV, TPCT",2024-01-01,2029-12-31,ADT/02/11
Lawrence Mackey,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2026-12-31,Albany,Appellate Division 3rd Department,2017,,,,,,ADT/03/05
Tanya R Kennedy,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2029-12-31,New York,Appellate Division 1st Department,2016,,,,,,ADT/01/01
Eileen C DalySapraicone,Supreme Court Justice,,2022-01-01,2034-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,
Andrew J Cohen,Supreme Court Justice,,2021-01-01,2034-12-31,Bronx,Bronx Supreme Civil,2021,,,,,,
Erin S Skinner,Supreme Court Justice,,2025-01-01,2038-12-31,Monroe,7th Judicial District,2025,,,,,,
Jodi Orlow,Supreme Court Justice,,2018-01-01,2031-12-31,Queens,Queens Supreme,2018,,,,,,
Mary Anne ScattareticoNaber,Supreme Court Justice,,2025-01-01,2029-12-31,Orange,9th Judicial District,2025,,,,,,
Francisco Calderon,Court of Claims Judge,,2024-07-03,2027-08-23,Albany,Court of Claims,2024,,,,,,
Francis A KahnIII,Court of Claims Judge,SUP CT JUSTICE,2019-04-29,2028-04-28,New York,NYC Supreme Civil,2018,,,,,,
