statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Westchester,Westchester County Supreme Ct,2020,,,,,,,Robert J Prisco
City Court Judge,,2017-01-01,2026-12-31,Niagara,North Tonawanda City Court,2015,,,,,,,Shawn P Nickerson
City Court Judge,,2024-01-01,2033-12-31,Westchester,Mount Vernon City Court,2022,,,,,,,Tamika A Coverdale
Family Court Judge NYC,,2017-12-29,2027-12-28,Queens,Queens County Family Court,2016,,,,,,,Monica D Shulman
District Court Judge,,2026-01-01,2031-12-31,Suffolk,"Suffolk Dist Ct, Second Dist",2020,,,,,,,Rosann O Orlando
Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Bronx,Bronx County Sup Ct Civil Term,2024,,,,,,,Joaquin E Orellana
District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 4th Dist",2024,,,,,,,Charles G Mcquair
County Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Orange,Orange County Court,2016,,,,,,,Craig Stephen Brown
Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Bronx,Bronx County Supreme Court,2017,,,,,,,Tara A Collins
Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Saratoga,Saratoga County Family Court,2023,,,,,,,Michael J Hartnett
City Court Judge,,2021-01-01,2026-12-31,St. Lawrence,Ogdensburg City Court,2021,,,,,,,Keith S MasseyJr
Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2026-12-31,Bronx,Bronx County Sup Ct Crim Term,2002,,,,,,,Ralph A Fabrizio
County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Columbia,Columbia County Court (M-B),2024,,,,,,,Michael C Howard
City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Oneida,Rome City Court,2014,5,City,,,,,Gregory J Amoroso
Family Court Judge,,2024-01-01,2033-12-31,Rockland,Rockland County Family Court,2024,,,,,,,Christopher J Exias
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Sup Ct Civil Term,2023,Bronx,Civil,,,,,Taisha L Chambers
City Court Judge,,2024-01-01,2033-12-31,Orange,Middletown City Court,2024,,,,,,,Theresa R Cayton
County Judge,,2024-01-01,2030-12-31,Westchester,Westchester County Supreme Ct,2024,,,,,,,Ann B Bianchi
City Court Judge,,2024-01-01,2028-12-31,Broome,Binghamton City Court,2024,,,,,,,Debra J Gelson
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Supreme Court,2023,,,,,,,Cynthia Isales
Criminal Court Judge NYC,,2022-10-11,2028-12-31,New York,New York County Criminal Court,2021,,,,,,,Simiyon S Haniff
City Court Judge,,2021-01-01,2030-12-31,Onondaga,Syracuse City Court,2021,,,,,,,Shadia Tadros
County Judge,,2026-01-01,2035-12-31,Chautauqua,Chautauqua County Supreme Ct,2016,,,,,,,David W Foley
City Court Judge,,2025-01-01,2034-12-31,Monroe,Rochester City Court,2025,,,,,,,Michael F Geraci
Family Court Judge,,2022-01-01,2031-12-31,St. Lawrence,St. Lawrence County Family Ct,2022,,,,,,,Andrew S Moses
Family Court Judge,,2025-01-01,2034-12-31,Rensselaer,Rensselaer County Family Court,1999,,,,,,,Matthew J Turner
City Court Judge,,2021-02-22,2031-02-08,Orange,Newburgh City Court,2021,,,,,,,Joanne M Forbes
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2017,,,,,,,Angela J Badamo
County Family Court Judge,,2026-01-01,2035-12-31,Ontario,Ontario County Court (M-B),2026,,,,,,,Stefanie L Barnes
Criminal Court Judge NYC,,2024-04-04,2033-12-31,New York,New York County Criminal Court,2024,,,,,,,Michelle H Weber
Criminal Court Judge NYC,ACT SUP CT JUS,2022-10-11,2031-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,,Germaine Auguste
City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Monroe,Rochester City Court,2023,,,,,,,Jacquelyn L Grippe
City Court Judge,,2021-01-01,2030-12-31,Westchester,Yonkers City Court,2021,,,,,,,Karen N Best
County Judge,,2020-01-01,2030-12-31,Jefferson,Jefferson County Court,2020,,,,,,,David A Renzi
Family Court Judge,,2020-01-01,2029-12-31,Rensselaer,Rensselaer County Family Court,2010,,,,,,,Elizabeth M Walsh
Family Court Judge,,2025-01-01,2034-12-31,Nassau,Nassau County Family Court,2025,,,,,,,Lisa Daniels
County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Sullivan,Sullivan County Family Court,2021,3,Town & Villiage,,,,,E Danielle JoseDecker
City Court Judge,,2024-01-01,2029-12-31,Warren,Glens Falls City Court,2023,,,,,,,Jacquelyn P White
County Surrogate Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Otsego,Otsego County Supreme Ct (M-B),2009,6,DWI Parts/Prolem Solving,,,,,John F Lambert
County Judge,,2017-01-01,2026-12-31,Rockland,Rockland County Court,2017,,,,,,,Kevin F Russo
County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Lewis,Lewis County Court (M-B),2012,,,,,,,Daniel R King
Family Court Judge NYC,ACT SUP CT JUS,2017-02-01,2027-01-31,Richmond,Richmond County Family Court,2005,,,,,,,Catherine M DiDomenico
County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Suffolk,Suffolk County Supreme Court,2006,,,,,,,John Iliou
Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,,Abayomi A Whint
City Court Judge,,2023-01-01,2028-12-31,Montgomery,Amsterdam City Court,2016,,,,,,,William J Mycek
Family Court Judge,,2022-01-01,2031-12-31,Niagara,Niagara County Family Court,2001,,,,,,,Kathleen M WojtaszekGariano
Civil Court Judge NYC,,2026-01-01,2026-12-31,New York,"NYC Civil Ct, New York County",2026,,,,,,,Andres Casas
City Court Judge,,2022-01-01,2031-12-31,Erie,Buffalo City Court,2022,,,,,,,Rebecca L Town
Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,Bronx County Sup Ct Civil Term,2026,,,,,,,Eric J Wursthorn
City Court Judge,ACT CNTY JGE,2024-01-01,2033-12-31,Monroe,Monroe County Supreme Court,2023,,,,,,,Constance A Patterson
County Surrogate Family Court Judge,ACT SUP CT JUS,2021-01-01,2026-12-31,Allegany,Allegany County Supr Ct(M-B),2011,,,,,,,Terrence M Parker
Family Court Judge NYC,,2020-06-02,2030-06-01,Queens,Queens County Family Court,2012,,,,,,,Joan L Piccirillo
County Surrogate Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Orleans,Orleans County Court (M-B),2018,,,,,,,Sanford A Church
City Court Judge,ACT CNTY JGE,2024-01-01,2031-12-31,Onondaga,Syracuse City Court,2014,,,,,,,Mary A Doherty
County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Madison,Madison County Court (M-B),2023,,,,,,,Rhonda M Youngs
Family Court Judge,,2023-01-01,2032-12-31,Nassau,Nassau County Family Court,2023,,,,,,,Sylvia A Cabana
City Court Judge,,2024-08-30,2030-08-29,Albany,Watervliet City Court,2024,,,,,,,Jasmine M Norman
District Court Judge,,2021-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2021,,,,,,,Alonzo G Jacobs
County Judge,,2025-01-01,2034-12-31,Saratoga,Saratoga County Court,2025,,,,,,,James Davis
City Court Judge,,2021-01-27,2027-01-26,Orange,Port Jervis City Court,2009,,,,,,,Matthew D Witherow
Family Court Judge NYC,ACT SUP CT JUS,2019-05-05,2029-05-04,Richmond,Richmond County Family Court,2019,,,,,,,Keith E Brown
Civil Court Judge NYC,,2026-01-01,2035-12-31,Kings,"NYC Criminal Ct, Kings County",2026,,,,,,,Duane Frankson
District Court Judge,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 1st Dist",2023,,,,,,,Arieh D Schulman
Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,New York,"NYC Civil Ct, New York County",2006,,,,,,,Robert M Mandelbaum
Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York,New York County Criminal Court,2017,,,,,,,Josh E Hanshaft
County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Madison,Madison County Court (M-B),2020,,,,,,,Michael G St Leger
Family Court Judge,,2026-01-01,2033-12-31,Erie,Erie County Family Court,2016,,,,,,,Brenda M Freedman
Civil Court Judge NYC,,2026-01-01,2029-12-31,Bronx,NYC Criminal Ct - Bronx County,2026,,,,,,,Katherine O'brien
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Supreme Court,2023,Bronx,Criminal,,,,,Yadhira GonzalezTaylor
District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2023,,,,,,,Anna Acquafredda
County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Wyoming,Wyoming County Supreme Ct(M-B),2024,,,,,,,Donald G O'Geen
Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,,Ilana J Marcus
County Surrogate Family Court Judge,,2021-01-01,2030-12-31,Greene,Greene County Supreme Ct(M-B),2011,,,,,,,Charles M Tailleur
County Judge,,2022-01-01,2031-12-31,Oswego,Oswego County Family Court,2022,,,,,,,Armen J Nazarian
County Judge,,2021-01-01,2030-12-31,Oswego,Oswego County Supreme Court,2021,,,,,,,Karen M Brandt
District Court Judge,,2025-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,,Patricia M Blake
City Court Judge,,2025-01-01,2030-12-31,Rensselaer,Rensselaer City Court,2020,,,,,,,Linda B Johnson
