statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
District Court Judge,ACT CNTY JGE,2022-01-01,2027-12-31,Suffolk,Suffolk County Supreme Court,2022,,,,,,,Frank S Carrigan
Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,New York County Criminal Court,2016,,,,,,,Cori H Weston
Family Court Judge,,2025-01-01,2034-12-31,Cayuga,Cayuga County Court (M-B),2025,,,,,,,Steven H Buschman
Criminal Court Judge NYC,,2026-01-01,2035-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,,David L Goodwin
City Court Judge,,2025-01-01,2034-12-31,Erie,Erie County Court,2025,,,,,,,Rashied H McDuffie
City Court Judge,ACT CNTY JGE,2020-12-17,2030-12-16,Clinton,Plattsburgh City Court,2019,4,Town & Villiage,,,,,Timothy G Blatchley
Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Monroe,Monroe County Family Court,2008,,,,,,,Joseph G Nesser
Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2014,7,CJ/Surrogate Court,,,,,Christopher S Ciaccio
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,New York,New York County Criminal Court,2023,,,,,,,Daniel Quart
County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Schoharie,Schoharie County Court (M-B),2023,,,,,,,Ryan T McAllister
Family Court Judge NYC,,2025-12-23,2035-12-22,Kings,Kings Supreme Criminal,2023,,,,,,,Jessica Baldi
City Court Judge,,2024-01-01,2029-12-31,Chenango,Norwich City Court,2018,,,,,,,Patrick J Flanagan
County Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Suffolk,Suffolk County Supreme Court,2014,,,,,,,Karen M Wilutis
Family Court Judge,,2025-01-01,2034-12-31,Erie,Erie County Family Court,2025,,,,,,,Jeffrey M Harrington
County Judge,,2025-01-01,2034-12-31,Rockland,Rockland County Family Court,2024,,,,,,,David M Ascher
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Kings,Kings Supreme Criminal,2023,,,,,,,Patrick H Torres
District Court Judge,,2022-01-01,2027-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2011,,,,,,,Bernard C Cheng
City Court Judge,,2025-01-01,2033-12-31,Onondaga,Syracuse City Court,2015,,,,,,,Ross P Andrews
District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,,Les S Wright
Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Civil Court, Kings County",2024,,,,,,,Javier Ortiz
City Court Judge,ACT CNTY JGE,2025-01-01,2027-12-31,Tompkins,Ithaca City Court,2015,,,,,,,Richard M Wallace
County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2027-12-31,Herkimer,Herkimer County Supreme Court,2011,,,,,,,John H Crandall
Civil Court Judge NYC,,2026-01-01,2026-12-31,New York,"NYC Civil Ct, New York County",2026,,,,,,,Cary S Fischer
District Court Judge,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 2nd Dist",2022,,,,,,,Marie F McCormack
City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Albany,"Albany City Court, Criminal Pt",2017,3,City,,,,,John J Reilly
Family Court Judge,ACT SUP CT JUS,2023-01-01,2029-12-31,Monroe,Monroe County Family Court,2022,,,,,,,Deral D Givens
City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Monroe,Monroe County Supreme Court,2018,7,City,,,,,Melissa L Barrett
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Kings,Kings Supreme Criminal,2016,,,,,,,Phyllis Chu
Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,,Fania Jean
County Judge,,2021-01-01,2030-12-31,St. Lawrence,St. Lawrence County Court,2021,,,,,,,Gregory P Storie
Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2029-12-31,Oswego,Oswego County Surrogate's Ct,1997,,,,,,,Spencer J Ludington
City Court Judge,,2018-01-01,2027-12-31,Onondaga,Syracuse City Court,2017,,,,,,,Derrek T Thomas
District Court Judge,,2025-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,,John B Zollo
City Court Judge,,2018-01-01,2027-12-31,Albany,"Albany City Court, Criminal Pt",2017,,,,,,,Holly Trexler
Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Franklin,Franklin County Family Ct(M-B),2015,,,,,,,Derek Champagne
Family Court Judge NYC,,2026-01-01,2028-03-24,Queens,Queens County Family Court,2025,,,,,,,Lauren NortonLerner
City Court Judge,ACT FAM CT JGE,2018-01-01,2027-12-31,Niagara,Niagara Falls City Court,2018,8,Town & Villiage,,,,,James J FasoJr
Family Court Judge NYC,,2021-06-14,2027-10-27,Queens,Queens County Family Court,2021,,,,,,,Tamra D Walker
City Court Judge,,2025-04-01,2031-03-31,Erie,Lackawanna City Court,2025,,,,,,,John P Gaughan
City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Cayuga,Cayuga County Family Ct(M-B),2014,,,,,,,David B Thurston
Family Court Judge,,2021-01-01,2030-12-31,Genesee,Genesee County Supreme Ct(M-B),2021,,,,,,,Thomas D Williams
City Court Judge,,2024-01-01,2033-12-31,Oneida,Rome City Court,2024,,,,,,,Stephanie Viscelli
Civil Court Judge NYC,,2025-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",1995,,,,,,,Jose A PadillaJr
Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Richmond,"NYC Civil Ct, Richmond County",2020,Richmond,Civil,,,,,Robert J HelbockJr
Family Court Judge,,2018-01-01,2027-12-31,Niagara,Niagara County Family Court,2018,,,,,,,Erin P DeLabio
Family Court Judge,,2024-01-01,2033-12-31,Orange,Orange County Family Court,2015,,,,,,,James M HendryIII
Family Court Judge,,2026-01-01,2034-12-31,Nassau,Nassau County Family Court,2015,,,,,,,Robert E Pipia
County Surrogate Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Washington,Washington County Family(M-B),2015,,,,,,,Adam D Michelini
Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings,"NYC Civil Court, Kings County",2023,,,,,,,Michele Davila
Family Court Judge,,2023-01-01,2032-12-31,Suffolk,Suffolk County Supreme Court,2023,,,,,,,Rosamaria Abbate
City Court Judge,,2022-01-01,2031-12-31,Onondaga,Syracuse City Court,2021,,,,,,,Erica T Clarke
Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Schenectady,Schenectady County Family Ct,2010,4,Family,,,,,Mark W Blanchfield
City Court Judge,ACT CNTY JGE,2017-01-01,2026-12-31,Monroe,Rochester City Court,2007,,,,,,,Maija C Dixon
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2015,,,,,,,Raja Rajeswari
Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Rensselaer,Rensselaer County Surrogate,2014,,,,,,,Paul V MorganJr
Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2026-12-31,Broome,Broome County Supreme Court,2011,,,,,,,David H Guy
Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings,Kings Supreme Criminal,2017,,,,,,,Herbert J Moses
Surrogate Court Judge,,2025-01-01,2034-12-31,Jefferson,Jefferson County Court,2025,,,,,,,Timothy L Virkler
City Court Judge,ACT CNTY JGE,2026-01-01,2033-12-31,Montgomery,Amsterdam City Court,2008,4,City,,,,,Lisa W Lorman
District Court Judge,,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 2nd Dist",2025,,,,,,,Maria Boultadakis
District Court Judge,,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 2nd Dist",2015,,,,,,,Ignatius L Muscarella
Civil Court Judge NYC,,2026-01-01,2029-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,,Oma Deonarine
Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Nassau,Nassau County Family Court,2015,,,,,,,Darlene D'shon Harris
Civil Court Judge NYC,ACT SUP CT JUS,2026-01-01,2035-12-31,New York,New York County Supreme Court,2016,,,,,,,Lisa S Headley
Surrogate Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Dutchess,Dutchess County Supreme Court,2019,,,,,,,Michael G Hayes
Family Court Judge,,2025-01-01,2034-12-31,Schenectady,Schenectady County Family Ct,2025,,,,,,,Samantha Miller Herrera
City Court Judge,,2021-04-01,2027-03-31,Fulton,Gloversville City Court,2015,,,,,,,Cory R Dalmata
Family Court Judge,,2026-01-01,2035-12-31,Albany,Albany County Family Court,2025,,,,,,,Jessica R Wilcox
County Surrogate Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Seneca,Seneca County Supreme Ct(M-B),2019,,,,,,,Barry L Porsch
County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Erie,Erie County Court,2011,,,,,,,Kenneth F Case
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Sup Ct Civil Term,2023,,,,,,,Sophia B Hershman
Civil Court Judge NYC,ADM JGE ACT SUP CT JS,2019-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",2019,,,,,,,Shahabuddeen A Ally
District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2024,,,,,,,Veronica R Irwin
City Court Judge,,2019-01-01,2028-12-31,Dutchess,Poughkeepsie City Court,2019,,,,,,,Scott L Volkman
Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,,Tehilah HR Kahan
Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Schenectady,Schenectady County Court,2003,,,,,,,Vincent W Versaci
County Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Chemung,Chemung County Court (M-B),2014,,,,,,,Richard W RichJr
Family Court Judge,,2022-01-01,2031-12-31,Oneida,Oneida County Family Court,2022,,,,,,,Jason D Flemma
Criminal Court Judge NYC,ADM JGE ACT SUP CT JS,2020-01-01,2029-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2013,,,,,,,Raymond Rodriguez
Civil Court Judge NYC,ACT FAM CT JGE,2026-01-01,2035-12-31,Kings,Kings Supreme Criminal,2026,,,,,,,Dagmar PlazaGonzalez
Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,Queens Supreme Criminal Term,2023,,,,,,,Jennifer A Tubridy
County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Monroe,Monroe County Court,2020,,,,,,,Karen B Turner
City Court Judge,,2022-01-01,2031-12-31,Niagara,Niagara Falls City Court,2022,,,,,,,Jenelle L Faso
Family Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Chemung,Chemung County Family Court,2025,,,,,,,Bryan J Maggs
Surrogate Court Judge,,2023-01-01,2032-12-31,Suffolk,Suffolk County Surrogate's Ct,2023,,,,,,,Vincent J MessinaJr
Family Court Judge NYC,ACT SUP CT JUS,2019-03-03,2029-03-02,New York,New York County Family Court,2015,NYC,Family,,,,,Alicea EllorasAlly
Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2020,,,,,,,Victoria Gumbs
Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Montgomery,Montgomery County Family Court,2022,,,,,,,Michael G Dayian
County Surrogate Court Judge,,2021-01-01,2030-12-31,Fulton,Fulton County Supreme Ct(M-B),2021,,,,,,,Michael W Smrtic
City Court Judge,,2025-12-19,2026-12-18,Westchester,White Plains City Court,2003,,,,,,,Eric P Press
Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2019,,,,,,,Michael J Gaffey
Family Court Judge,,2022-01-01,2031-12-31,Erie,Erie County Family Court,2003,,,,,,,Sharon M LoVallo
Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Family Ct,2025,,,,,,,Sharon G Matthie
Family Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Cortland,Cortland County Supr Ct(M-B),2025,,,,,,,A L Beth O'Connor
County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau,Nassau County Court,2013,,,,,,,Helene F Gugerty
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,2015,,,,,,,Donald Leo
County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Nassau,Nassau County Court,2021,,,,,,,Christopher E Hoefenkrieg
City Court Judge,,2025-01-01,2034-12-31,Oswego,Fulton City Court,2020,,,,,,,James M Nicholson
District Court Judge,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 1st Dist",2023,,,,,,,Geoffrey N Prime
City Court Judge,,2021-12-20,2027-12-19,Niagara,North Tonawanda City Court,2021,,,,,,,Luke A Brown
County Judge,,2025-01-03,2034-12-31,Monroe,Monroe County Supreme Court,2025,,,,,,,Michael T Ansaldi
Civil Court Judge NYC,,2026-01-01,2036-12-31,Kings,"NYC Civil Court, Kings County",2026,,,,,,,Chidi A Eze
County Judge,ACT SUP CT JUS,2024-01-01,2029-12-31,Nassau,Nassau County Court,2015,,,,,,,Joseph B Girardi
District Court Judge,,2022-01-01,2027-12-31,Nassau,"Nassau District Ct, 1st Dist",2021,,,,,,,David I Levine
District Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2019,,,,,,,Eric Sachs
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2015,,,,,,,Brenda L Rivera
Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Bronx,Bronx County Sup Ct Civil Term,2021,,,,,,,Wanda Y Negron
Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2015,,,,,,,Fiordaliza A Rodriguez
Surrogate Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Surrogate's Ct,2025,,,,,,,Deborah S Kearns
Family Court Judge NYC,,2025-01-01,2034-12-31,New York,New York County Family Court,2024,,,,,,,Lydia S Antoncic
County Surrogate Family Court Judge,,2020-01-01,2029-12-31,Hamilton,Hamilton County Court (M-B),2020,,,,,,,Tatiana N Coffinger
Family Court Judge,,2025-01-01,2034-12-31,St. Lawrence,St. Lawrence County Court,2025,,,,,,,Efstathia G Kyriakopoulos
Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Monroe,Monroe County Family Court,2024,,,,,,,Kristine M DemoVazquez
Civil Court Judge NYC,,2023-01-01,2031-12-31,Queens,Queens Supreme Criminal Term,2023,,,,,,,Maria T Gonzalez
Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,NYC Criminal Ct - Bronx County,2026,,,,,,,JulietteNoor Haji
County Judge,ACT SUP CT JUS,2019-01-01,2027-12-31,Westchester,Westchester County Court,2008,9,Problem Solving Courts,,,,,Susan M Capeci
Criminal Court Judge NYC,ACT SUP CT JUS,2012-12-01,2032-11-30,Queens,Queens Supreme Criminal Term,2010,,,,,,,John F Zoll
City Court Judge,,2017-01-01,2026-12-31,Westchester,Mount Vernon City Court,2016,,,,,,,Nichelle A Johnson
City Court Judge,,2026-01-01,2035-12-31,Oneida,Utica City Court,2016,,,,,,,F Christopher Giruzzi
Civil Court Judge NYC,,2026-01-01,2034-12-31,New York,New York County Supreme Court,2014,,,,,,,Denise M Dominguez
County Judge,,2017-01-01,2026-12-31,Onondaga,Onondaga County Court,2017,5,Superior Criminal Courts,,,,,Matthew J Doran
City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Fulton,Gloversville City Court,2013,4,Town & Villiage,,,,,Traci L DiMezza
Family Court Judge NYC,,2024-12-11,2035-03-04,Kings,Kings Supreme Criminal,2024,,,,,,,Laura M Paley
Family Court Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Suffolk,Suffolk County Family Court,2016,,,,,,,Matthew G Hughes
Criminal Court Judge NYC,,2025-06-04,2028-12-31,New York,New York County Criminal Court,2025,,,,,,,Shirin I Zarabi
Family Court Judge NYC,,2025-11-14,2030-06-30,Bronx,Bronx County Family Court,2025,,,,,,,Erik Pinsonnault
Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Bronx,Bronx County Sup Ct Civil Term,2024,,,,,,,Edit Shkreli
Family Court Judge,,2026-01-01,2035-12-31,Westchester,Westchester County Family Ct,2026,,,,,,,Emily R Rubin
Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Chemung,Chemung County Family Court,2015,6,Family,,,,,Mary M Tarantelli
City Court Judge,,2026-01-01,2035-12-31,Erie,Tonawanda City Court,2014,,,,,,,Dean E LilacJr
Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,,Raynette N Brewster
City Court Judge,,2022-01-01,2031-12-31,Orange,Newburgh City Court,2021,,,,,,,Anika C Mohammed
Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,"NYC Civil Ct, New York County",2011,,,,,,,Michael L Katz
County Family Court Judge,,2019-01-01,2027-12-31,Steuben,Steuben County Supreme Ct(M-B),2019,,,,,,,Chauncey J Watches
Family Court Judge NYC,,2025-01-01,2034-12-31,New York,New York County Family Court,2025,,,,,,,Jaimee L Nelsen
County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Chenango,Chenango County Family Ct(M-B),2013,,,,,,,Frank B RevoirJr
Civil Court Judge NYC,,2024-01-01,2033-12-31,Queens,"NYC Civil Court, Queens County",2024,,,,,,,Evelyn Gong
Civil Court Judge NYC,,2026-01-01,2035-12-31,New York,New York County Criminal Court,2026,,,,,,,Sheridan JackBrowne
Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2027-12-31,Bronx,NYC Criminal Ct - Bronx County,2011,,,,,,,Linda Poust Lopez
City Court Judge,,2023-01-01,2028-12-31,Steuben,Hornell City Court,2014,,,,,,,David E Coddington
Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Nassau,Nassau County Family Court,2017,,,,,,,Ayesha K Brantley
County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Delaware,Delaware County Court (M-B),2023,,,,,,,John L Hubbard
Surrogate Court Judge,,2018-01-01,2027-12-31,Erie,Erie County Surrogate's Court,2018,,,,,,,Acea M Mosey
County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2032-12-31,Cortland,Cortland County Court (M-B),2003,6,Superior Criminal Courts,,,,,Julie A Campbell
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Bronx,Bronx County Supreme Court,2017,,,,,,,Jeffrey Rosenblueth
City Court Judge,,2025-01-01,2029-12-31,Cortland,Cortland City Court,2024,,,,,,,Ronald T Walsh
County Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Nassau,Nassau County Family Court,2019,,,,,,,Catherine Rizzo
City Court Judge,,2026-01-01,2031-12-31,Albany,Cohoes City Court,2020,,,,,,,Eric M Galarneau
City Court Judge,,2026-01-01,2035-12-31,Madison,Oneida City Court,2026,,,,,,,Todd D Dexter
County Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Clinton,Clinton County Court (M-B),2017,,,,,,,Keith M Bruno
Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Queens,"NYC Criminal Ct, Queens Cnty",2005,,,,,,,Toko Serita
Family Court Judge,,2025-01-01,2033-12-31,Nassau,Nassau County Family Court,2021,,,,,,,Christopher J Coschignano
Family Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Family Court,2021,,,,,,,Ricja D RiceGhyll
Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Kings,Kings County Supreme Court,2024,,,,,,,Betsey JeanJacques
Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2025,,,,,,,Lisa A Daley
County Judge,ACT SUP CT JUS,2024-01-01,2032-12-31,Nassau,Nassau County Court,2012,,,,,,,Colin F O'Donnell
Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2026-12-31,Bronx,Bronx County Supreme Court,2013,,,,,,,Steven Hornstein
Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2029-12-31,Kings,Kings Supreme Criminal,2019,,,,,,,Jay L Weiner
County Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Nassau,Nassau County Court,2026,,,,,,,Donald X Clavin
Family Court Judge,,2023-01-01,2028-12-31,Erie,Erie County Family Court,2002,,,,,,,Kevin M Carter
City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Rensselaer,Troy City Court,2005,,,,,,,Christopher T Maier
Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Onondaga,Onondaga County Family Court,2013,5,Family,,,,,Julie A Cecile
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,,Deidra R Moore
Surrogate Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Rockland,Rockland County Surrogate's Ct,2018,,,,,,,Keith J Cornell
Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York,New York County Criminal Court,2022,,,,,,,Sara R Litman
County Judge,,2025-01-01,2030-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,,Sheralyn Pulver
City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Erie,Buffalo City Court,2019,,,,,,,Peter J SavageIII
Civil Court Judge NYC,,2024-01-01,2033-12-31,Richmond,"NYC Civil Ct, Richmond County",2024,,,,,,,Michael J Pinto
District Court Judge,ACT CNTY JGE,2023-01-01,2028-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2023,,,,,,,Evan M Zuckerman
Family Court Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Nassau,Nassau County Family Court,2013,,,,,,,Joy M Watson
County Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Monroe,Monroe County Supreme Court,2022,,,,,,,Julie M Hahn
City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Steuben,Corning City Court,2025,,,,,,,Christopher J Ferratella
Family Court Judge NYC,ACT SUP CT JUS,2022-12-16,2032-09-04,Queens,Queens County Family Court,2021,Queens,Family,,,,,Gigi N Parris
Family Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Family Court,2025,,,,,,,Jillian E Faison
Civil Court Judge NYC,,2024-01-01,2032-12-31,Bronx,Bronx County Sup Ct Civil Term,2024,,,,,,,Carol E Malcolm
District Court Judge,ACT CNTY JGE,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 3rd Dist",2020,,,,,,,Karen L Moroney
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2025,,,,,,,Dawn Guglielmo
County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Monroe,Monroe County Court,2020,7,Superior Criminal Courts,,,,,Michael L Dollinger
City Court Judge,,2018-01-01,2027-12-31,Erie,Lackawanna City Court,2018,,,,,,,Kenneth A Szyszkowski
Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,,Jeanine R Johnson
District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,,Lisa A LoCurto
Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,St. Lawrence,St. Lawrence County Court,2022,,,,,,,Michelle H Ladouceur
County Judge,,2026-01-01,2035-12-31,Westchester,Westchester County Supreme Ct,2026,,,,,,,Erin M McGoey
Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Dutchess,Dutchess County Family Court,2019,,,,,,,Jeffrey C Martin
President Board of Judges,ACT CNTY JGE,2026-01-01,2031-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2018,,,,,,,Edward J Hennessey
Family Court Judge,,2025-01-01,2034-12-31,Chautauqua,Chautauqua County Family Court,2025,,,,,,,Peter R Johnson
City Court Judge,,2026-01-01,2031-12-31,Ontario,Geneva City Court,2020,,,,,,,William J Hart
Family Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Nassau,Nassau County Family Court,2017,,,,,,,Eileen J Goggin
City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Monroe,Rochester City Court,2020,,,,,,,Nicole D Morris
Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Ulster,Ulster County Family Court,2015,3,Family,,,,,Keri E Savona
City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Schenectady,Schenectady City Court,2020,,,,,,,Carl G Falotico
Family Court Judge,,2022-01-01,2031-12-31,Rensselaer,Rensselaer County Family Court,2015,,,,,,,Jill Kehn
City Court Judge,,2021-01-01,2030-12-31,Dutchess,Poughkeepsie City Court,2011,,,,,,,Frank M Mora
Family Court Judge,,2026-01-01,2033-12-31,Suffolk,Suffolk County Supreme Court,2026,,,,,,,James P O'connor
District Court Judge,ACT CNTY JGE,2026-01-01,2028-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2001,,,,,,,John Kelly
City Court Judge,ACT CNTY JGE,2026-01-01,2035-12-31,Niagara,Lockport City Court,2000,,,,,,,William J Watson
Family Court Judge NYC,ACT SUP CT JUS,2023-12-31,2029-12-31,Kings,Kings Supreme Criminal,2015,,,,,,,Emily P Ruben
Criminal Court Judge NYC,,2023-12-11,2031-12-31,Bronx,NYC Criminal Ct - Bronx County,2023,,,,,,,Craig J Ortner
Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2019,,,,,,,Alecia J Mazzo
City Court Judge,,2021-01-01,2030-12-31,Ulster,Kingston City Court,2007,,,,,,,Lawrence E Ball
Civil Court Judge NYC,,2024-01-01,2033-12-31,New York,"NYC Civil Ct, New York County",2024,,,,,,,Lauren L Esposito
County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Yates,Yates County Supreme Ct(M-B),2024,,,,,,,MacKenzie M Stutzman
Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Civil Court, Kings County",2024,,,,,,,Rena Malik
Family Court Judge NYC,,2024-09-04,2033-12-31,Queens,Queens County Family Court,2024,,,,,,,Christine A Perumal
County Judge,,2018-01-01,2027-12-31,Erie,Erie County Court,2011,,,,,,,Susan M Eagan
County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau,Nassau County Court,2013,Nassau,Superior Criminal Courts,,,,,Teresa K Corrigan
County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Suffolk,Suffolk County Court,2025,,,,,,,Peter R Mcgreevy
Civil Court Judge NYC,,2024-01-01,2033-12-31,New York,"NYC Civil Ct, New York County",2024,,,,,,,Andrea R Krugman
Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings,Kings Supreme Criminal,2015,,,,,,,Abena Darkeh
County Judge,,2025-01-01,2034-12-31,Oneida,Oneida County Supreme Court,2025,,,,,,,Michael R Nolan
City Court Judge,,2025-01-01,2030-12-31,Rensselaer,Rensselaer City Court,2025,,,,,,,Heather L Dukes
Family Court Judge NYC,,2023-02-15,2028-02-18,Bronx,Bronx County Family Court,2023,,,,,,,Hari K Singh
